id,full_name,kibbutz_name,playground_name,playground_number,site_number,Permit_number,category,subcategory,coordinate,lat,lon,link_waze,link_gmaps,equipment,equipment_number,surface,last_update_iso,status,certificate_expiry,certificate_expiry_iso,days_to_expire,kibbutz_list,,,,,,,
PG-018,"שצ""פ 16 נדב קובץ יפתח",יפתח,נדב קובץ,16,3999244,113702,גן ציבורי,"שצ""פ","33.1289696, 35.5511501",33.1289696,35.5511501,"https://waze.com/ul?ll=33.128970,35.551150&navigate=yes","https://www.google.com/maps?q=33.128970,35.551150","חצובת נדנדה עם מושבים שטוחים מגומי, חצובת נדנדה עם מושבי עריסה מגומי, משולב ממתכת בעל 2 מגדלים, עלה ורד, קן נשרים מכבלים, חצובת נדנדה עם מושב קן לציפור, מתח , משולב ממתכת בעל 2 מגדלים ",10,"חצץ, דשא",2025-10-26,גן תקין,22/12/2025,2025-12-22,47,מנרה ,,,,,,,
PG-019,"שצ""פ 17 כולבו יראון",יראון,כולבו,17,3408210,113702,גן ציבורי,"שצ""פ","33.0781092, 35.455429",33.0781092,35.455429,"https://waze.com/ul?ll=33.078109,35.455429&navigate=yes","https://www.google.com/maps?q=33.078109,35.455429","קן נשרים מכבלים, חצובת נדנדה עם מושב קן לציפור, משולב ממתכת בעל 3 מגדלים, חתול קפיץ, כלב קפיץ",6,דשא,2025-10-26,גן תקין,25/08/2026,2026-08-25,293,מעיין ברוך ,,,,,,,
PG-020,"בי""ס 59 פסגות יראון",יראון,פסגות,59,4544543,113701,מבנה חינוך,בית ספר,"33.0782536, 35.4553292",33.0782536,35.4553292,"https://waze.com/ul?ll=33.078254,35.455329&navigate=yes","https://www.google.com/maps?q=33.078254,35.455329","חצובת נדנדה עם מושבים שטוחים מגומי, עלה ורד, משולב ממתכת בעל 2 מגדלים, משפך סל, לוח פאנל משחק חרוזים, לוח פאנל משחק ",8,חצץ,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,משגב עם ,,,,,,,
PG-021,"שצ""פ 19 כולבו כפר בלום",כפר בלום,כולבו,19,6323892,113702,גן ציבורי,"שצ""פ","33.1716304, 35.6107816",33.1716304,35.6107816,"https://waze.com/ul?ll=33.171630,35.610782&navigate=yes","https://www.google.com/maps?q=33.171630,35.610782","שני מתקני נענוע קפיץ ספירלי, חצובה מתכת עם מושב קן לציפור מכבלים ומושבים שטוחים ומושבי עריסה, עלה ורד, משולב ממתכת בעל 2 מגדלים, קן נשרים מכבלים ",8,דשא,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,נאות מרדכי ,,,,,,,
PG-022,"שצ""פ 20 הרחבה כפר בלום",כפר בלום,הרחבה,20,2624634,113702,גן ציבורי,"שצ""פ","33.1757745, 35.6071369",33.1757745,35.6071369,"https://waze.com/ul?ll=33.175775,35.607137&navigate=yes","https://www.google.com/maps?q=33.175775,35.607137","חצובה מתכת עם מושבים שטוחים ועריסה מגומי, נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, עלה ורד, נענוע קפיץ ספירלי, משולב ממתכת בעל מגדל אחד ",8,דשא,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,סאסא  ,,,,,,,
PG-023,"בי""ס 60 הגומא כפר בלום",כפר בלום,הגומא,60,1593094,113701,מבנה חינוך,בית ספר,"33.1707386, 35.6118662",33.1707386,35.6118662,"https://waze.com/ul?ll=33.170739,35.611866&navigate=yes","https://www.google.com/maps?q=33.170739,35.611866","מתקן אולימפוס, חצובת נדנדה 2 בוגרים 1 קן ציפור",4,דשא,2025-10-23,גן תקין,21/12/2025,2025-12-21,46,עמיעד ,,,,,,,
PG-024,"שצ""פ 80 נינג'ה ג'וניור כפר בלום",כפר בלום,נינג'ה ג'וניור,80,1650632,113702,גן ציבורי,"שצ""פ","33.171805, 35.6109517",33.171805,35.6109517,"https://waze.com/ul?ll=33.171805,35.610952&navigate=yes","https://www.google.com/maps?q=33.171805,35.610952"," דלגיות עץ רוביניה, קרנף עץ רוביניה, קואלה עץ רוביניה, טייגר עץ רוביניה, עכביש עץ רוביניה, קנגרו עץ רוביניה, דלגיות עץ רוביניה, קופיקו עץ רוביניה, היפו עץ רוביניה",11,דשא,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,עמיר ,,,,,,,
PG-025,"שצ""פ 22 גני ילדים כפר גלעדי",כפר גלעדי,גני ילדים,22,3946190,113702,גן ציבורי,"שצ""פ","33.2421508, 35.5739362",33.2421508,35.5739362,"https://waze.com/ul?ll=33.242151,35.573936&navigate=yes","https://www.google.com/maps?q=33.242151,35.573936","חצובת נדנדות עם מושבים שטוחים מגומי ומושבי עריסה, משולב מעץ בעל מגדל אחד, שני מתקני נענוע קפיץ ספירלי, משולב מעץ בעל 2 מגדלים, פונקציונלי גלדיאטור",8,דשא,2025-10-26,גן תקין,25/08/2025,2025-08-25,-72,צבעון ,,,,,,,
PG-026,"בי""ס 61 עלי גבעה כפר גלעדי",כפר גלעדי,עלי גבעה,61,1624985,113701,מבנה חינוך,בית ספר,"33.2407054, 35.5741254",33.2407054,35.5741254,"https://waze.com/ul?ll=33.240705,35.574125&navigate=yes","https://www.google.com/maps?q=33.240705,35.574125","חצובת נדנדה עם מושבים שטוחים מגומי,  נענוע קפיץ ספירלי, נענוע קפיץ ספירלי ""חתול"" , משולב ממתכת בעל 2 מגדלים ",6,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,קדרים ,,,,,,,
PG-027,"שצ""פ 66 הרחבה כפר גלעדי",כפר גלעדי,הרחבה,66,5001843,113702,גן ציבורי,"שצ""פ","33.2435458, 35.5777641",33.2435458,35.5777641,"https://waze.com/ul?ll=33.243546,35.577764&navigate=yes","https://www.google.com/maps?q=33.243546,35.577764","חצובת נדנדות עם מושב שטוח מגומי,מושב עריסה מגומי ומושב קן לציפור, גלגל - רץ , מתקן טיפוס מכבלים בצורת פירמידה, שיווי משקל קפיצים, שיווי משקל מפותל ממתכת, שיווי משקל באמצעות כבלים, מתקן טיפוס מעץ, מתקן מעבר ידיים מעץ",10,דשא,2025-10-26,גן תקין,22/12/2025,2025-12-22,47,שדה נחמיה  ,,,,,,,
PG-028,"שצ""פ 24 אסתר כפר הנשיא",כפר הנשיא,אסתר,24,3121273,113702,גן ציבורי,"שצ""פ","32.9745331, 35.6046422",32.9745331,35.6046422,"https://waze.com/ul?ll=32.974533,35.604642&navigate=yes","https://www.google.com/maps?q=32.974533,35.604642","חצובה מתכת עם מושב קן לציפור מכבלים,ומושב עריסה מגומי, חצובה מתכת עם מושבים שטוחים מגומי, קן נשרים מכבלים, משפך סל, נענוע קפיץ ספירלי, עלה ורד, נענוע קפיץ ספירלי, קרוסלה עגולה, משולב ממתכת בעל 2 מגדלים",11,דשא,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,שמיר ,,,,,,,
PG-029,"שצ""פ 76 הרחבה כפר הנשיא",כפר הנשיא,הרחבה,76,2097847,113702,גן ציבורי,"שצ""פ","32.9781933, 35.5990541",32.9781933,35.5990541,"https://waze.com/ul?ll=32.978193,35.599054&navigate=yes","https://www.google.com/maps?q=32.978193,35.599054","מתקן טיפוס ממתכת, קרוסלה עגולה, נענוע קפיץ ספירלי, עלה ורד קפיצים, חצובה מתכת עם מושב קן לציפור מכבלים, מושבים שטוח ועריסה מגומי, נענוע קפיץ ספירלי, משולב ממתכת בעל 2 מגדלים",9,דשא,2025-10-23,גן תקין,24/08/2025,2025-08-24,-73,שניר ,,,,,,,
PG-030,"שצ""פ 25  מרכזי כפר סאלד",כפר סאלד,מרכזי,25,5595697,113702,גן ציבורי,"שצ""פ","33.1963951, 35.6585803",33.1963951,35.6585803,"https://waze.com/ul?ll=33.196395,35.658580&navigate=yes","https://www.google.com/maps?q=33.196395,35.658580"," נענוע קפיץ ספירלי, משולב ממתכת בעל 2 מגדלים, מתקן אופקי מתכת עם סולם כבלים, מתח,טבעות, חצובה מתכת עם מושבים שטוחים מגומי, משפך סל, קרוסלה עגולה, פרמידת קני ציפור, משולב 4 מגדלים",8,דשא,2025-10-26,גן תקין,25/08/2025,2025-08-25,-72,,,,,,,,
PG-031,"שצ""פ 26 הנאהבים להבות הבשן",להבות הבשן,הנאהבים,26,0655029,113702,גן ציבורי,"שצ""פ","33.1413348, 35.6470702",33.1413348,35.6470702,"https://waze.com/ul?ll=33.141335,35.647070&navigate=yes","https://www.google.com/maps?q=33.141335,35.647070","קרוסלה עגולה, משולב ממתכת בעל מגדל אחד, משולב ממתכת בעל 2 מגדלים, חצובה מתכת עם מושבי עריסה מגומי",6,דשא,2025-10-23,גן תקין,29/12/2025,2025-12-29,54,,,,,,,,
PG-032,"שצ""פ 27 חוחית להבות הבשן",להבות הבשן,חוחית,27,8481545,113702,גן ציבורי,"שצ""פ","33.1425606, 35.6454806",33.1425606,35.6454806,"https://waze.com/ul?ll=33.142561,35.645481&navigate=yes","https://www.google.com/maps?q=33.142561,35.645481","משולב ממתכת בעל מגדל אחד, חצובה מתכת עם מושב קן לציפור מכבלים ומושבים שטוחים מגומי, נענוע קפיץ ספירלי, נענוע קפיץ ספירלי, עלה ורד ",7,דשא,2025-10-23,גן תקין,25/08/2025,2025-08-25,-72,,,,,,,,
PG-033,"שצ""פ 28 בית תינוקות להבות הבשן",להבות הבשן,בית תינוקות,28,0923982,113702,גן ציבורי,"שצ""פ","33.1424668, 35.6454653",33.1424668,35.6454653,"https://waze.com/ul?ll=33.142467,35.645465&navigate=yes","https://www.google.com/maps?q=33.142467,35.645465",מתקן טיפוס כבלים בצורת פירמידה עם מגלשת צינור פלסטיק וקירות טיפוס,3,חצץ,2025-10-23,גן תקין,29/12/2025,2025-12-29,54,,,,,,,,
